Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S126G36,Bộ lót ren bướm đệm vừa không gọng quần đai kép ghi 36 - Ghi - 36,1,350000,0,0,350000,105723,244277, 69.79% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,Am126NA32,Bộ lót không gọng đệm vừa dây đan ngực màu NÂU 32,4,695195,0,0,695195,451401,243794, 35.07% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S124XD36,Bộ lót kẻ chấm bi quần nơ xanh đậm 36 (kv),1,350000,0,0,350000,107497,242503, 69.29% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S124HT36,Bộ lót kẻ chấm bi quần nơ hồng tím 36 (kv),1,350000,0,0,350000,107497,242503, 69.29% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S006DE36,Bộ lót trơn viền ren không gọng đệm vừa đen 36,2,506991,0,0,506991,266414,240577, 47.45% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,Am126BE34,Bộ lót không gọng đệm vừa dây đan ngực màu be 34,4,698442,0,0,698442,458347,240095, 34.38% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S110DEM,Bộ corset ghi lê viền ren sọc thẳng đen M,1,380000,0,0,380000,140121,239879, 63.13% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S110DEL,Bộ corset ghi lê viền ren sọc thẳng đen L,1,380000,0,0,380000,140121,239879, 63.13% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S130DE34,Bộ lót ren xuyên thấu có gọng quai ren to đen 34,1,360000,0,0,360000,120565,239435, 66.51% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S104HP36,Bộ lót ren xuyên thấu có gọng hồng phấn 36,1,350000,0,0,350000,110914,239086, 68.31% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S143XR36,Bộ lót ren hai quai dây đan ngực đệm dày không gọng xanh rêu 36,2,583553,1,-244186,339367,101536,237831, 70.08% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S143BE36,Bộ lót ren hai quai dây đan ngực đệm dày không gọng be 36,1,339367,0,0,339367,101536,237831, 70.08% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S119DE38,Bộ lót ren có gọng đệm vừa dây ren bèo thắt nơ giữa đen 38 (kv),1,365000,0,0,365000,127268,237732, 65.13% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S122XD36,Bộ lót chéo ngực không gọng đệm vừa xanh đậm 36,1,350000,0,0,350000,112979,237021, 67.72% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S122XR34,Bộ lót chéo ngực không gọng đệm vừa xanh rêu 34,1,350000,0,0,350000,112979,237021, 67.72% 
