Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
Bảo Tín{DEL},Bảo Tín{DEL},,,LT07{DEL},Lắc bạc trơn,413,35880000,24,-2070000,33810000,696000,33114000, 97.94% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DCT05{DEL},Dây chuyền Hoàng gia,122,34420454,13,-3900000,30520454,6408000,24112454, 79.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX06{DEL},lắc xuri bạc ta,113,30062000,16,-4390000,25672000,7238000,18434000, 71.81% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX01{DEL},lắc tay bí ngô bac ta,96,34535385,8,-2660000,31875385,13650000,18225385, 57.18% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBX10{DEL},Nhẫn pha lê bạc ta,162,25505531,17,-2720000,22785531,5824000,16961531, 74.44% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MNV01{DEL},mặt dây nam vàng quan công,80,11840000,17,-2550000,9290000,2146000,7144000, 76.90% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN05 - đỏ{DEL},Nhẫn bạc tứ long chầu ngọc đỏ,24,14600000,9,-5600000,9000000,1989000,7011000, 77.90% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX04{DEL},bông tai bạc sao mai,68,10244000,7,-980000,9264000,3136000,6128000, 66.15% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN02{DEL},Dây chuyền da 4 đốt bạc,28,10484545,9,-3454545,7030000,2465290,4564710, 64.93% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX07{DEL},lắc trơn bạc ta,27,6676000,1,-280000,6396000,1833000,4563000, 71.34% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX10{DEL},Dây chuyền Trái Tim Đôi,41,11400000,8,-2240000,9160000,4620000,4540000, 49.56% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX02-xanhto{DEL},Mặt Di Lặc xanh to,25,11273842,5,-2365455,8908387,4515000,4393387, 49.32% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NB06{DEL},Nhẫn bạc hoa nhài vòng xoắn,35,4613913,2,-280000,4333913,0,4333913, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN03{DEL},Dây Chuyền Mưa Nam 8 chỉ,12,8803000,2,-1443000,7360000,3330000,4030000, 54.76% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBN02{DEL},Lắc Tay Bạc Nam 2 Đầu Rồng,12,9697500,2,-1657500,8040000,4150000,3890000, 48.38% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBXT{DEL},Dây bạc Mặt Chữ,25,5177000,1,-250000,4927000,1260000,3667000, 74.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MNV02{DEL},Mặt nanh rồng,39,5750000,9,-1300000,4450000,1020000,3430000, 77.08% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX01{DEL},Nanh rồng bạc ta,42,9885000,15,-3737500,6147500,2782000,3365500, 54.75% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX12{DEL},Dây chuyền cánh thiên thần,20,5167500,2,-530000,4637500,1548000,3089500, 66.62% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX03{DEL},Bông tai hoa đá,33,5072677,5,-800000,4272677,1200000,3072677, 71.91% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN03-9{DEL},Nhẫn Tứ Linh_size 9,16,6920000,3,-1380000,5540000,2640000,2900000, 52.35% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN08-9{DEL},Nhẫn hoàng tử size 9,17,3827273,3,-650000,3177273,308000,2869273, 90.31% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN06{DEL},Dây Chuyền Nam vẩy Đầu Rồng 1.5,4,5440000,1,-1300000,4140000,1444000,2696000, 65.12% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX02-den{DEL},Mặt Di Lặc Đen to,14,6090000,2,-880000,5210000,2530000,2680000, 51.44% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LTHDMT{DEL},Lắc tay hậu duệ mặt trời,11,2949058,0,0,2949058,455000,2494058, 84.57% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN04{DEL},Dây Da 6 Đốt Bạc,14,5791613,3,-1250000,4541613,2090000,2451613, 53.98% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX04{DEL},lắc tay trái tim đôi bạc ta,16,4385000,4,-1120000,3265000,816000,2449000, 75.01% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN01{DEL},Nhẫn bạc Ngọc Đế đỏ,8,3520000,0,0,3520000,1080000,2440000, 69.32% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX10{DEL},bông tai nụ đá thạch anh,33,2867500,1,-90000,2777500,405000,2372500, 85.42% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX09{DEL},Kiềng Cứng Người lớn,10,4557000,0,0,4557000,2300000,2257000, 49.53% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN02-lam9{DEL},Nhẫn hoàng đế xanh lam size 9,16,3600000,3,-750000,2850000,700000,2150000, 75.44% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LCX03{DEL},Lắc chân cỏ 4 lá bạc ta,18,3029919,0,0,3029919,945000,2084919, 68.81% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTHDMT{DEL},Bông tai hậu duệ mặt trời,21,3055092,2,-160000,2895092,845000,2050092, 70.81% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MMV01-Đen{DEL},Mặt phật di lạc Đen Mạ Vàng,7,4700000,2,-1300000,3400000,1425000,1975000, 58.09% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX08{DEL},Lắc bạc ta con mèo,11,4050000,1,-350000,3700000,1854000,1846000, 49.89% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DMV{DEL},Dây Cao Su 6 đốt Mạ Vàng,14,6208333,5,-2450000,3758333,1980000,1778333, 47.32% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN05{DEL},"Dây chuyền Đinh Bạc 1,1 cây",4,3960000,0,0,3960000,2240000,1720000, 43.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX09{DEL},Lắc Tay Cánh Thiên Thần,10,2495000,1,-280000,2215000,495000,1720000, 77.65% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX03{DEL},Lắc Tay 6 Bông Hoa,12,3220000,2,-560000,2660000,970000,1690000, 63.53% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBX11{DEL},nhẫn bạc channel,14,2403000,2,-360000,2043000,376000,1667000, 81.60% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX13{DEL},Dây Chuyền Cỏ 4 Lá,13,2390000,0,0,2390000,732000,1658000, 69.37% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN05 - đen{DEL},Nhẫn bạc Tứ Long chầu ngọc đen,4,2400000,0,0,2400000,884000,1516000, 63.17% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LTE01{DEL},Lăc tay chuông kitty em bé bạc ta,11,2240000,0,0,2240000,775000,1465000, 65.40% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN1-ĐỎ{DEL},PANDORA TITAN ĐỎ,8,2000000,1,-250000,1750000,315000,1435000, 82.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN1-XANH BIỂN{DEL},PANDORA TITAN XANH BIỂN,8,1987500,1,-250000,1737500,315000,1422500, 81.87% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX17{DEL},Dây Chuyền Bánh Lái,11,2650000,0,0,2650000,1243000,1407000, 53.09% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LTX10{DEL},lắc tay bạc channel,6,1905882,1,-320000,1585882,282000,1303882, 82.22% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-lam9{DEL},Nhẫn tam hoàng xanh lam size 9,10,2250000,2,-450000,1800000,518000,1282000, 71.22% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN08{DEL},Dây nike 1.5 cây,1,1250000,0,0,1250000,0,1250000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN01 7 chỉ{DEL},dây chuyển Nike 7 chỉ,9,5170000,3,-1920000,3250000,2015000,1235000, 38.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN03-11{DEL},Nhẫn tứ linh size 11,6,2780000,1,-460000,2320000,1200000,1120000, 48.28% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN03-10{DEL},Nhẫn tứ linh size 10,8,3240000,1,-460000,2780000,1680000,1100000, 39.57% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LTE02{DEL},Lắc tay em bé trơn bạc ta,8,2240000,2,-560000,1680000,600000,1080000, 64.29% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN02-lam10{DEL},Nhẫn hoàng đế xanh lam size 10,7,1677273,2,-477273,1200000,140000,1060000, 88.33% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MMV02 - Đen{DEL},Mặt Long Phụng Si Vàng (Đen),3,1650000,0,0,1650000,621000,1029000, 62.36% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-den9{DEL},Nhẫn tam hoàng đen size 9,8,1700000,1,-250000,1450000,444000,1006000, 69.38% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NB07{DEL},Nhẫn bạc chong chóng,9,1240000,0,0,1240000,276000,964000, 77.74% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX12{DEL},Lắc Trơn Charm Mèo,3,950000,0,0,950000,0,950000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN08-8{DEL},Nhẫn hoàng tử size 8,6,1500000,2,-500000,1000000,66000,934000, 93.40% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MMV01-Đỏ{DEL},Mặt phật di lạc Đỏ Mạ Vàng,3,1841667,0,0,1841667,915000,926667, 50.32% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX05-den{DEL},Mặt Long Phụng _ đen,7,3040000,3,-1320000,1720000,800000,920000, 53.49% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX19{DEL},Dây chuyền Dream Catcher,6,1460000,0,0,1460000,582000,878000, 60.14% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MMV02 - Đỏ{DEL},Mặt Long Phụng Si Vàng ( Đỏ),3,1600000,1,-550000,1050000,207000,843000, 80.29% 
Bảo Tín{DEL},Bảo Tín{DEL},,,"DBN06 - 2,3 cây{DEL}","Dây Chuyền vẩy Đầu Rồng 2,3 cây",3,6000000,2,-4000000,2000000,1200000,800000, 40.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-do9{DEL},Nhân tam hoàng đỏ size 9,6,1500000,2,-500000,1000000,222000,778000, 77.80% 
Bảo Tín{DEL},Bảo Tín{DEL},,,ND003{DEL},Nhẫn Đôi Kim Cương,8,2175000,1,-350000,1825000,1050000,775000, 42.47% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN06{DEL},Nhẫn Thủy Quân Lục Chiến,3,1320000,1,-440000,880000,120000,760000, 86.36% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBN03{DEL},"Lắc Tay Bạc Nam Vẩy Rồng 1,3 cây",2,2200000,0,0,2200000,1440000,760000, 34.55% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX16{DEL},Dây Chuyền Cánh Bướm,5,1150000,0,0,1150000,425000,725000, 63.04% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN02- Xanh{DEL},Nhẫn bạc Không Quân,3,1080000,1,-200000,880000,170000,710000, 80.68% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-Den7{DEL},Nhẫn tam hoàng đen size 7,4,1000000,0,0,1000000,296000,704000, 70.40% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN07{DEL},Nhẫn Long Châu (đỏ),1,700000,0,0,700000,0,700000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MDN01{DEL},mặt lưỡi lam,3,750000,0,0,750000,80000,670000, 89.33% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN09{DEL},Dây Chuyền NiKe 2 cây,2,3200000,1,-1600000,1600000,970000,630000, 39.38% 
Bảo Tín{DEL},Bảo Tín{DEL},,,lbx10{DEL},Lắc Tay Chong Chóng,5,930000,0,0,930000,300000,630000, 67.74% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN08-10{DEL},Nhẫn hoàng tử size 10,3,650000,0,0,650000,44000,606000, 93.23% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN07- Đen{DEL},Nhẫn Long Châu ( Đen),1,600000,0,0,600000,0,600000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX05{DEL},Lắc trơn bạc ta khắc lá,2,550000,0,0,550000,0,550000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-Do 7{DEL},Nhẫn tam hoàng đỏ size 7,5,900000,0,0,900000,370000,530000, 58.89% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-lam7{DEL},Nhẫn tam hoàng xanh lam size 7,3,750000,0,0,750000,222000,528000, 70.40% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX11{DEL},Dây chuyền nhịp tim,4,1000000,1,-250000,750000,240000,510000, 68.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN04 - Dây Kết{DEL},Dây Kết 6 Đốt Mạ Vàng,3,1500000,1,-550000,950000,440000,510000, 53.68% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN09{DEL},Nhẫn BạcTa DuBai,1,500000,0,0,500000,0,500000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN2-HỒNG{DEL},PANDORA TITAN - HỒNG,5,1120000,2,-500000,620000,135000,485000, 78.23% 
Bảo Tín{DEL},Bảo Tín{DEL},,,ND001{DEL},Nhẫn Đôi Vương - Hậu,3,1050000,1,-350000,700000,240000,460000, 65.71% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-Do8{DEL},Nhân tam hoàng đỏ size 8,6,1250000,2,-500000,750000,296000,454000, 60.53% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LBX11{DEL},lắc tay cherry,1,450000,0,0,450000,0,450000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN03-8{DEL},Nhẫn tứ linh size 8,6,2320000,2,-920000,1400000,960000,440000, 31.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX05{DEL},Bông tai chong chóng,5,800000,1,-160000,640000,200000,440000, 68.75% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN02 - Đỏ{DEL},Nhẫn không quân mỹ (đỏ),1,440000,0,0,440000,0,440000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,nbn11{DEL},Nhẫn Bạc đá xanh,1,440000,0,0,440000,0,440000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NDX03{DEL},Nhẫn đôi Thủy Chung,3,760000,0,0,760000,324000,436000, 57.37% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX04{DEL},Mặt bạc ta dao lam,2,500000,0,0,500000,80000,420000, 84.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX18{DEL},Dây Chuyền Bông Tuyết,4,750000,0,0,750000,352000,398000, 53.07% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NMV03 - Đỏ{DEL},Nhẫn Ngọc Đế Mạ Vàng,1,600000,0,0,600000,222000,378000, 63.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NMV02 - ĐỎ{DEL},Nhẫn Playboy Đá Đỏ,4,2100000,2,-1200000,900000,560000,340000, 37.78% 
Bảo Tín{DEL},Bảo Tín{DEL},,,nmv04 - đá đỏ{DEL},Nhẫn Ngựa Vàng - Đỏ,1,460000,0,0,460000,136000,324000, 70.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NMV04 - đá đen{DEL},Nhẫn Ngựa Vàng - Đen,1,460000,0,0,460000,136000,324000, 70.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NDX04{DEL},Nhẫn đôi đính đá,1,320000,0,0,320000,0,320000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NMV02 - Đen{DEL},Nhẫn Playboy Đá Đen,1,600000,0,0,600000,280000,320000, 53.33% 
Bảo Tín{DEL},Bảo Tín{DEL},,,ND004{DEL},Nhẫn Đôi Cành Hồng,1,500000,0,0,500000,182000,318000, 63.60% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN01-VANG{DEL},Nhẫn bạc Ngọc Đế vàng,1,440000,0,0,440000,128000,312000, 70.91% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBEX01{DEL},Kiềng trẻ em to,5,1350000,2,-700000,650000,354000,296000, 45.54% 
Bảo Tín{DEL},Bảo Tín{DEL},,,BTX06{DEL},Bông Tai Hoa Sen,3,500000,0,0,500000,210000,290000, 58.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX07{DEL},Mặt Di Lặc Mã Não,1,600000,0,0,600000,310000,290000, 48.33% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX15{DEL},Dây Chuyền Hoa Sen,1,350000,0,0,350000,98000,252000, 72.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-Den8{DEL},Nhẫn tam hoàng đen size 8,2,500000,1,-250000,250000,0,250000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX02-đỏ{DEL},Mặt Di Lặc to đỏ,1,480000,0,0,480000,230000,250000, 52.08% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN2-ĐỎ{DEL},PANDORA TITAN ĐỎ,1,250000,0,0,250000,0,250000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN02 - Đen{DEL},Nhẫn Bạc Không Quân Mỹ,1,440000,0,0,440000,190000,250000, 56.82% 
Bảo Tín{DEL},Bảo Tín{DEL},,,LCX{DEL},Lăc chân hoa bạc ta,1,230000,0,0,230000,0,230000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,ND002{DEL},Nhẫn Đôi Sóng Tình,1,350000,0,0,350000,140000,210000, 60.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN1-XANH LÁ{DEL},PANDORA TITAN XANH LÁ,1,250000,0,0,250000,50000,200000, 80.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,CHARM{DEL},Charm Mèo,3,600000,1,-200000,400000,200000,200000, 50.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DBX14{DEL},Dây Chuyền Mặt Tròn,1,190000,0,0,190000,0,190000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN1-TÍM{DEL},PANDORA TITAN TÍM,1,225000,0,0,225000,50000,175000, 77.78% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NDX02{DEL},Nhẫn đôi Ngọt Ngào,2,600000,1,-320000,280000,108000,172000, 61.43% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN02-lam11{DEL},Nhẫn hoàng đế xanh lam size 11,1,200000,0,0,200000,70000,130000, 65.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,NN06-lam8{DEL},Nhân tam hoàng xanh lam size 8,4,700000,2,-450000,250000,148000,102000, 40.80% 
Bảo Tín{DEL},Bảo Tín{DEL},,,DAY{DEL},Dây bạc nữ,1,50000,0,0,50000,0,50000, 100.00% 
Bảo Tín{DEL},Bảo Tín{DEL},,,MBX06{DEL},Mặt rồng Bắc Âu,2,400000,0,0,400000,390000,10000, 2.50% 
Bảo Tín{DEL},Bảo Tín{DEL},,,PAN2-XANH LÁ{DEL},PANDORA TITAN XANH LÁ,1,250000,1,-250000,0,0,0, ---   
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN01-den{DEL},Nhẫn bạc Ngọc Đế đen,1,440000,1,-440000,0,0,0, ---   
Bảo Tín{DEL},Bảo Tín{DEL},,,DBN01 5 Chỉ{DEL},Dây Nike 5 chỉ,1,490000,1,-490000,0,0,0, ---   
Bảo Tín{DEL},Bảo Tín{DEL},,,NBN12 - Đỏ{DEL},Nhẫn bạc playboy - đá đỏ,1,500000,1,-500000,0,0,0, ---   
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LT01{DEL},Lắc tay bí ngô,1139,157833000,80,-11060000,146773000,7480000,139293000, 94.90% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LT06{DEL},Lắc tay bạc xuri,1037,91710000,90,-8010000,83700000,2430000,81270000, 97.10% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LC02{DEL},Lắc chân ngôi sao,562,61277207,31,-3300000,57977207,2613000,55364207, 95.49% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LC01{DEL},Lắc chân chuông,494,54158500,42,-4620000,49538500,1911000,47627500, 96.14% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LT04{DEL},Lắc tay trai tim đôi,296,26260000,20,-1620000,24640000,1458000,23182000, 94.08% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,NBX01{DEL},Nhẫn bạc ta mặt hoa đá,181,28625995,17,-2720000,25905995,5270000,20635995, 79.66% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,DBX04{DEL},Dây bạc hình cầu pha lê,191,33749842,16,-2815000,30934842,12445000,18489842, 59.77% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,MDG05{DEL},Dây lập phương,140,22070000,11,-1820000,20250000,2340000,17910000, 88.44% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LT03{DEL},Lắc tay đá xanh,263,23076087,25,-2250000,20826087,3520000,17306087, 83.10% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,MDG03{DEL},Mặt tinh thể thạch anh,128,23393000,8,-1520000,21873000,5312000,16561000, 75.71% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,DBX03{DEL},Dây bạc ta hình công,121,20771381,12,-1977857,18793524,4420000,14373524, 76.48% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,MDG01{DEL},Mặt dây vuông (chữ Love),100,16042541,9,-1480000,14562541,1856000,12706541, 87.25% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,BTX02{DEL},Bông tai pha lê bạc ta,115,17520531,12,-1920000,15600531,4560000,11040531, 70.77% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,BT02{DEL},bông tai pha lê,79,10780000,3,-420000,10360000,0,10360000, 100.00% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,DBX01{DEL},Dây bạc ta Channel,112,16647094,12,-1875000,14772094,4800000,9972094, 67.51% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LC03{DEL},Lắc chân cỏ bốn lá,88,9226500,3,-330000,8896500,221000,8675500, 97.52% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,MDG04{DEL},Mặt dây tròn rỗng,50,7990000,7,-1120000,6870000,0,6870000, 100.00% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,HDMT1{DEL},Dây bạc ta hậu duệ mặt trời,56,9792518,4,-470000,9322518,3395000,5927518, 63.58% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LT08{DEL},Lắc tay chuông,53,5830000,4,-440000,5390000,13000,5377000, 99.76% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,BT05{DEL},Bông tai hoa nhài,67,5850000,6,-540000,5310000,0,5310000, 100.00% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LC04{DEL},Lắc chân chữ thập,60,6262414,6,-660000,5602414,312000,5290414, 94.43% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,NBX03{DEL},Nhẫn bạc đính đá thiên hà,53,6990000,6,-700000,6290000,1008000,5282000, 83.97% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LT02{DEL},Lắc tay bông hoa,35,4900000,1,-140000,4760000,0,4760000, 100.00% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,BTX01{DEL},Bông tai channel,42,6165881,4,-640000,5525881,987000,4538881, 82.14% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,BT06-bac{DEL},Bông tai sao băng - Bạc,35,4760000,2,-280000,4480000,0,4480000, 100.00% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,NBX02{DEL},Nhẫn bạc đính đá full,43,6680000,6,-960000,5720000,1474000,4246000, 74.23% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,NB01{DEL},Nhẫn vòng nguyệt quế,33,4480000,2,-280000,4200000,0,4200000, 100.00% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,LCX01{DEL},Lắc Chân 3 Bông Hoa,35,6637055,5,-1010000,5627055,1560000,4067055, 72.28% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,DBX08{DEL},kiềng mềm bạc ta,71,11182143,11,-1787143,9395000,5605000,3790000, 40.34% 
Bảo Tín{DEL} >> Bảo tín trang sức bạc{DEL},Bảo Tín{DEL},Bảo tín trang sức bạc{DEL},,MDG02{DEL},Dây mặt hoa sơn trà,23,3680000,2,-320000,3360000,0,3360000, 100.00% 
